time,x,y,phi,xvar,yvar,phivar,xycovar,xphicovar,yphicovar
1745816805.324736,0.0,0.0,0.0,0.060000000000000005,5.01,0.060000000000000005,0.0,0.0,0.0
1745816805.4238808,0.0,0.0,0.0,0.11000000000000001,10.01,0.11000000000000001,0.0,0.0,0.0
1745816805.5233908,0.0,0.0,0.0,0.16000000000000003,15.01,0.16000000000000003,0.0,0.0,0.0
1745816805.6239116,0.0,0.0,0.0,0.21000000000000002,20.009999999999998,0.21000000000000002,0.0,0.0,0.0
1745816805.7235992,0.0,0.0,0.0,0.26,25.009999999999998,0.26,0.0,0.0,0.0
1745816805.8241947,0.0,0.0,0.0,0.31,30.009999999999998,0.31,0.0,0.0,0.0
1745816805.9317071,0.0,0.0,0.0,0.36,35.01,0.36,0.0,0.0,0.0
1745816806.030835,0.0,0.0,0.0,0.41,40.01,0.41,0.0,0.0,0.0
1745816806.1290762,0.0,0.0,0.0,0.45999999999999996,45.01,0.45999999999999996,0.0,0.0,0.0
1745816806.2344277,0.0,0.0,0.0,0.51,50.01,0.51,0.0,0.0,0.0
1745816806.3246968,0.0,0.0,0.0,0.56,55.01,0.56,0.0,0.0,0.0
1745816806.4296663,0.0,0.0,0.0,0.6100000000000001,60.01,0.6100000000000001,0.0,0.0,0.0
1745816806.5301292,0.0,0.0,0.0,0.6600000000000001,65.00999999999999,0.6600000000000001,0.0,0.0,0.0
1745816806.623793,0.0,0.0,0.0,0.7100000000000002,70.00999999999999,0.7100000000000002,0.0,0.0,0.0
1745816806.7316685,0.0,0.0,0.0,0.7600000000000002,75.00999999999999,0.7600000000000002,0.0,0.0,0.0
1745816806.823696,0.0,0.0,0.0,0.8100000000000003,80.00999999999999,0.8100000000000003,0.0,0.0,0.0
1745816806.9243448,0.0,0.0,0.0,0.8600000000000003,85.00999999999999,0.8600000000000003,0.0,0.0,0.0
1745816807.0237997,0.0,0.0,0.0,0.9100000000000004,90.00999999999999,0.9100000000000004,0.0,0.0,0.0
1745816807.128662,0.0,0.0,0.0,0.9600000000000004,95.00999999999999,0.9600000000000004,0.0,0.0,0.0
1745816807.2244313,0.0,0.0,0.0,1.0100000000000005,100.00999999999999,1.0100000000000005,0.0,0.0,0.0
1745816807.3330271,0.0,0.0,0.0,1.0600000000000005,105.00999999999999,1.0600000000000005,0.0,0.0,0.0
1745816807.4243524,0.0,0.0,0.0,1.1100000000000005,110.00999999999999,1.1100000000000005,0.0,0.0,0.0
1745816807.525011,0.0,0.0,0.0,1.1600000000000006,115.00999999999999,1.1600000000000006,0.0,0.0,0.0
1745816807.6236157,0.0,0.0,0.0,1.2100000000000006,120.00999999999999,1.2100000000000006,0.0,0.0,0.0
1745816807.7283475,0.0,0.0,0.0,1.2600000000000007,125.00999999999999,1.2600000000000007,0.0,0.0,0.0
1745816807.8233728,0.0,0.0,0.0,1.3100000000000007,130.01,1.3100000000000007,0.0,0.0,0.0
1745816807.9236498,0.0,0.0,0.0,1.3600000000000008,135.01,1.3600000000000008,0.0,0.0,0.0
1745816808.0237794,0.0,0.0,0.0,1.4100000000000008,140.01,1.4100000000000008,0.0,0.0,0.0
1745816808.1306958,0.0,0.0,0.0,1.4600000000000009,145.01,1.4600000000000009,0.0,0.0,0.0
1745816808.2249484,0.0,0.0,0.0,1.510000000000001,150.01,1.510000000000001,0.0,0.0,0.0
1745816808.3283439,0.0,0.0,0.0,1.560000000000001,155.01,1.560000000000001,0.0,0.0,0.0
1745816808.4237366,0.0,0.0,0.0,1.610000000000001,160.01,1.610000000000001,0.0,0.0,0.0
1745816808.5327914,0.0,0.0,0.0,1.660000000000001,165.01,1.660000000000001,0.0,0.0,0.0
1745816808.6243029,0.0,0.0,0.0,1.710000000000001,170.01,1.710000000000001,0.0,0.0,0.0
1745816808.730873,0.0,0.0,0.0,1.7600000000000011,175.01,1.7600000000000011,0.0,0.0,0.0
1745816808.8246748,0.0,0.0,0.0,1.8100000000000012,180.01,1.8100000000000012,0.0,0.0,0.0
1745816808.9285038,0.0,0.0,0.0,1.8600000000000012,185.01,1.8600000000000012,0.0,0.0,0.0
1745816809.023496,0.0,0.0,0.0,1.9100000000000013,190.01,1.9100000000000013,0.0,0.0,0.0
1745816809.1247923,0.0,0.0,0.0,1.9600000000000013,195.01,1.9600000000000013,0.0,0.0,0.0
1745816809.2275305,0.0,0.0,0.0,2.010000000000001,200.01,2.010000000000001,0.0,0.0,0.0
1745816809.3306735,0.0,0.0,0.0,2.060000000000001,205.01,2.060000000000001,0.0,0.0,0.0
1745816809.4235861,0.0,0.0,0.0,2.1100000000000008,210.01,2.1100000000000008,0.0,0.0,0.0
1745816809.5314927,0.0,0.0,0.0,2.1600000000000006,215.01,2.1600000000000006,0.0,0.0,0.0
1745816809.6234837,0.0,0.0,0.0,2.2100000000000004,220.01,2.2100000000000004,0.0,0.0,0.0
1745816809.7282717,0.0,0.0,0.0,2.2600000000000002,225.01,2.2600000000000002,0.0,0.0,0.0
1745816809.8247964,0.0,0.0,0.0,2.31,230.01,2.31,0.0,0.0,0.0
1745816809.9334588,0.0,0.0,0.0,2.36,235.01,2.36,0.0,0.0,0.0
1745816810.02408,0.0,0.0,0.0,2.4099999999999997,240.01,2.4099999999999997,0.0,0.0,0.0
1745816810.1241329,0.0,0.0,0.0,2.4599999999999995,245.01,2.4599999999999995,0.0,0.0,0.0
1745816810.2238727,0.0,0.0,0.0,2.5099999999999993,250.01,2.5099999999999993,0.0,0.0,0.0
